Wavelength	Blue_Dragon_Flow_basalt_00000.asd.sco	Blue_Dragon_Flow_basalt_00001.asd.sco	Cape_Brenton_Anorthosite_00000.asd.sco	Cape_Brenton_Anorthosite_00001.asd.sco	Cape_Brenton_Anorthosite_00002.asd.sco	Hematite_particulate_00000.asd.sco	Hvalfj054_00000.asd.sco	Hvalfj054_00001.asd.sco	Hvalfj054_00002.asd.sco	Kilauea_basalt_particulate_00000.asd.sco	Kilauea_basalt_rock_00000.asd.sco	Kilauea_basalt_rock_00001.asd.sco	Nontronite_00000.asd.sco	Olivine_San_Carlo_125-250_00000.asd.sco	Olivine_San_Carlos_250-1mm_00000.asd.sco	San_Carlos_B_rock00000.asd.sco	San_Carlos_B_rock00001.asd.sco	San_Carlos_B_rock00002.asd.sco	San_Carlos_B_rock00003.asd.sco
350	4.71480712294579E-02	4.62766848504543E-02	0.273482263088226	0.208732306957245	0.268251687288284	3.73667553067207E-02	0.049961119890213	0.079018622636795	0.151719510555267	9.20407399535179E-02	5.90614341199398E-02	4.32710461318493E-02	0.068825364112854	0.228068023920059	0.109580889344215	7.53336474299431E-02	4.44670654833317E-02	3.68465147912502E-02	 8.14589858055115E-02 
351	4.52638827264309E-02	4.39670570194721E-02	0.276543825864792	0.20985209941864	0.266881614923477	3.40723060071468E-02	5.08343428373337E-02	8.50058645009995E-02	0.152905270457268	9.27274972200394E-02	6.00513145327568E-02	4.15540486574173E-02	7.19944909214973E-02	0.232786253094673	0.112144604325294	0.076685443520546	4.43750880658627E-02	4.16149348020554E-02	 8.30903798341751E-02 
352	0.043435625731945	4.48630377650261E-02	0.281494587659836	0.212287932634354	0.268418967723846	4.04478833079338E-02	5.22238612174988E-02	8.77628922462463E-02	0.154292583465576	9.36535149812698E-02	6.32433220744133E-02	4.00374159216881E-02	7.43244662880898E-02	0.23844388127327	0.117633864283562	7.84066915512085E-02	4.30358052253723E-02	4.44615334272385E-02	 8.43826308846474E-02 
353	4.44752722978592E-02	4.76097613573074E-02	0.280879408121109	0.213159069418907	0.271251976490021	5.27099780738354E-02	0.053495466709137	8.07003825902939E-02	0.152459487318993	9.10152271389961E-02	6.56209290027618E-02	4.35416251420975E-02	7.21896886825562E-02	0.238549247384071	0.122592702507973	8.20241868495941E-02	4.31369617581367E-02	4.24270331859589E-02	 8.60305428504944E-02 
354	4.51680049300194E-02	4.52316924929619E-02	0.274872243404388	0.209632605314255	0.265959411859512	3.89177575707436E-02	5.59501275420189E-02	8.06851238012314E-02	0.151080101728439	9.96964871883392E-02	6.94475322961807E-02	4.97978404164314E-02	7.70311057567596E-02	0.242394894361496	0.126936286687851	8.01988989114761E-02	4.46910299360752E-02	4.77163605391979E-02	 8.34735631942749E-02 
355	4.99752722680569E-02	4.78170327842236E-02	0.275031447410584	0.208699032664299	0.268255293369293	3.49480919539928E-02	5.43577037751675E-02	8.46246182918549E-02	0.149972096085548	0.103524304926395	6.82312771677971E-02	4.86878454685211E-02	7.58236572146416E-02	0.242639541625977	0.123626612126827	8.33277031779289E-02	4.18438240885735E-02	4.70439493656158E-02	 8.18469300866127E-02 
356	5.12984618544579E-02	4.86108511686325E-02	0.277795732021332	0.210349574685097	0.271282911300659	0.037388626486063	5.15623390674591E-02	8.48554968833923E-02	0.148966640233994	0.103377789258957	6.56903609633446E-02	4.49217334389687E-02	7.21878334879875E-02	0.242070347070694	0.120109334588051	8.41527804732323E-02	3.79338413476944E-02	4.32777404785156E-02	 8.18669274449348E-02 
357	0.043765015900135	0.041128396987915	0.277424722909927	0.212480738759041	0.2667336165905	3.44972647726536E-02	5.16449064016342E-02	7.77115747332573E-02	0.147981435060501	0.103997699916363	6.67399615049362E-02	4.56707440316677E-02	7.26142376661301E-02	0.245428144931793	0.124475866556168	7.63293579220772E-02	3.82240898907185E-02	4.32317927479744E-02	 8.25524926185608E-02 
358	4.61879782378674E-02	4.23692353069782E-02	0.282764822244644	0.215796604752541	0.272929459810257	3.78459356725216E-02	5.24267181754112E-02	8.16520601511002E-02	0.147306472063065	0.101575002074242	6.69039934873581E-02	4.69612590968609E-02	7.19844177365303E-02	0.252641141414642	0.127911776304245	8.11274275183678E-02	4.38810624182224E-02	4.78833764791489E-02	 8.28240662813187E-02 
359	4.67977449297905E-02	4.43573147058487E-02	0.281801015138626	0.215014263987541	0.274246424436569	3.71664613485336E-02	5.49661405384541E-02	8.65656509995461E-02	0.151584029197693	9.98170450329781E-02	6.62074461579323E-02	4.37632985413074E-02	7.13329091668129E-02	0.254953026771545	0.127779647707939	0.083148330450058	4.59542758762836E-02	4.89260368049145E-02	 8.35830941796303E-02 
360	4.56256084144115E-02	4.53693680465221E-02	0.279009968042374	0.212818056344986	0.271770924329758	3.51629108190537E-02	5.71034699678421E-02	8.81618931889534E-02	0.156102791428566	9.92147326469421E-02	6.36203214526176E-02	3.91853488981724E-02	6.96116611361504E-02	0.252707898616791	0.125079184770584	8.15783813595772E-02	4.50986921787262E-02	4.68958653509617E-02	 8.49100425839424E-02 
361	4.92812842130661E-02	4.77548725903034E-02	0.286492556333542	0.215568512678146	0.276016771793365	4.07564491033554E-02	5.54668940603733E-02	8.71368870139122E-02	0.152336522936821	9.83259677886963E-02	5.85859753191471E-02	4.02963273227215E-02	6.52467831969261E-02	0.252222567796707	0.123256608843803	8.43585059046745E-02	0.047071561217308	4.73451130092144E-02	 8.61418768763542E-02 
362	0.046179860830307	4.64347489178181E-02	0.283324360847473	0.214507207274437	0.275709271430969	3.77167612314224E-02	0.053612120449543	8.48217755556107E-02	0.150729477405548	9.96664986014366E-02	6.15505203604698E-02	4.19757664203644E-02	6.49132803082466E-02	0.25645637512207	0.127053990960121	8.22996869683266E-02	4.30612713098526E-02	4.55790795385838E-02	 8.47908109426498E-02 
363	0.044335275888443	4.67439852654934E-02	0.279689639806747	0.213667452335358	0.272951424121857	3.30683439970016E-02	5.34078367054462E-02	8.39576795697212E-02	0.151447653770447	0.101469613611698	6.48264363408089E-02	0.043231874704361	6.59095570445061E-02	0.260191291570663	0.13150642812252	8.06750133633614E-02	4.07048389315605E-02	4.45062816143036E-02	 8.56700986623764E-02 
364	0.046653863042593	4.96252998709679E-02	0.281202018260956	0.215484023094177	0.271453857421875	3.18985246121883E-02	0.054927259683609	8.54945033788681E-02	0.153246119618416	0.102031119167805	6.44310936331749E-02	4.36776727437973E-02	6.55305758118629E-02	0.261470228433609	0.132820501923561	8.23348835110664E-02	4.30508404970169E-02	4.56867814064026E-02	 8.92874300479889E-02 
365	4.71893809735775E-02	4.94008623063564E-02	0.283563107252121	0.218658819794655	0.274766027927399	3.35522666573524E-02	5.64081817865372E-02	0.088111437857151	0.154757633805275	0.100372597575188	6.34610280394554E-02	4.30867560207844E-02	6.25462010502815E-02	0.263442486524582	0.130158424377441	8.51732417941093E-02	4.53792028129101E-02	4.80293147265911E-02	 0.090084582567215 
366	0.046947680413723	4.78218123316765E-02	0.284615278244019	0.219580724835396	0.278564184904099	3.57371158897877E-02	5.48675730824471E-02	8.67844894528389E-02	0.154143363237381	0.102723747491837	6.42560869455338E-02	4.36012484133244E-02	6.41309544444084E-02	0.26571261882782	0.132232785224915	8.43742340803146E-02	0.04442273452878	4.61823642253876E-02	 8.86016339063644E-02 
367	4.60599102079868E-02	4.63028773665428E-02	0.286436587572098	0.219529509544373	0.280009746551514	3.64250987768173E-02	5.35337775945663E-02	8.36758092045784E-02	0.153346538543701	0.103997908532619	6.67969733476639E-02	0.044658362865448	6.59016668796539E-02	0.268698334693909	0.136150613427162	0.083051897585392	4.26070056855679E-02	4.44276630878448E-02	 8.60052853822708E-02 
368	4.56248708069324E-02	4.64122481644154E-02	0.289794147014618	0.220305144786835	0.279035180807114	3.54853384196758E-02	5.47607988119125E-02	8.24846103787422E-02	0.154173195362091	0.100870423018932	6.90174773335457E-02	0.044659435749054	6.39551281929016E-02	0.271587342023849	0.137929603457451	8.40044245123863E-02	4.27507944405079E-02	0.046156071126461	 8.45486000180244E-02 
369	5.00543490052223E-02	5.08253797888756E-02	0.289419800043106	0.222282633185387	0.281434327363968	3.72683256864548E-02	5.53745068609715E-02	8.69302898645401E-02	0.156376838684082	0.100204028189182	6.49132952094078E-02	4.04456034302711E-02	6.16567023098469E-02	0.26984378695488	0.137435838580132	0.084789901971817	4.58023361861706E-02	4.73164170980453E-02	 8.92260670661926E-02 
370	4.93301153182983E-02	5.06404750049114E-02	0.291092485189438	0.22339928150177	0.282991826534271	3.65174598991871E-02	5.48861473798752E-02	0.088216595351696	0.155191421508789	0.101073674857616	6.32802471518517E-02	3.90445441007614E-02	6.03984668850899E-02	0.269768804311752	0.137302532792091	8.44397246837616E-02	4.34836484491825E-02	4.70237098634243E-02	 8.93373638391495E-02 
371	4.66613434255123E-02	4.88127358257771E-02	0.293434411287308	0.223309814929962	0.283161789178848	3.51580120623112E-02	5.48538528382778E-02	0.08803990483284	0.153573274612427	0.102026112377644	6.37869611382484E-02	4.10762205719948E-02	6.04310557246208E-02	0.271780878305435	0.137498244643211	8.50618779659271E-02	4.17909286916256E-02	4.77641485631466E-02	 8.75411778688431E-02 
372	4.83457632362843E-02	5.07315807044506E-02	0.293323129415512	0.222869142889977	0.28311151266098	0.036666177213192	5.64609132707119E-02	9.03056710958481E-02	0.155839473009109	0.101791776716709	6.32313787937164E-02	4.40779738128185E-02	6.11091107130051E-02	0.273855268955231	0.137396395206451	0.088085412979126	4.78754714131355E-02	5.13225384056568E-02	 8.97831320762634E-02 
373	4.71224002540112E-02	4.77331280708313E-02	0.294274091720581	0.224797487258911	0.284795820713043	3.70347760617733E-02	5.40962181985378E-02	8.64891707897186E-02	0.156139597296715	0.101391986012459	6.42004460096359E-02	4.51619625091553E-02	6.05308823287487E-02	0.274695366621017	0.139293104410172	8.44739153981209E-02	4.36869487166405E-02	4.83784228563309E-02	 8.91518145799637E-02 
374	4.75885011255741E-02	4.64499294757843E-02	0.295096099376678	0.227093666791916	0.285724550485611	3.67530509829521E-02	5.39604499936104E-02	8.60238522291183E-02	0.157941877841949	0.103338316082954	6.69135823845863E-02	4.67185154557228E-02	6.14113286137581E-02	0.277788043022156	0.142534181475639	8.39626640081406E-02	4.19137887656689E-02	4.65766713023186E-02	 8.97678285837173E-02 
375	4.89683374762535E-02	4.75710444152355E-02	0.295760840177536	0.228935167193413	0.285518169403076	3.64488065242767E-02	5.59623539447784E-02	8.90719667077065E-02	0.160221219062805	0.105399049818516	0.069362185895443	4.79317270219326E-02	6.31520003080368E-02	0.281964898109436	0.145461082458496	8.67055431008339E-02	4.49956692755222E-02	4.74386550486088E-02	 9.19638276100159E-02 
376	4.62494753301144E-02	0.046464167535305	0.297320306301117	0.230671495199203	0.285780221223831	3.65613251924515E-02	5.47689683735371E-02	8.79878029227257E-02	0.158582508563995	0.102303937077522	6.83435723185539E-02	4.56389337778091E-02	6.25434145331383E-02	0.282570600509644	0.146187573671341	8.48471373319626E-02	4.56921681761742E-02	4.68316562473774E-02	 9.25724655389786E-02 
377	0.045284815132618	4.48549427092075E-02	0.298971265554428	0.231339365243912	0.286908447742462	3.58958691358566E-02	5.37648051977158E-02	8.75085964798927E-02	0.158784627914429	0.10180039703846	0.067533515393734	0.044669434428215	6.15789256989956E-02	0.282988995313644	0.148391380906105	8.45830664038658E-02	4.44382466375828E-02	4.67244274914265E-02	 9.06378254294395E-02 
378	4.51276786625385E-02	0.043844148516655	0.300110459327698	0.231059551239014	0.288943529129028	3.63848246634007E-02	5.38284331560135E-02	0.087091863155365	0.160030394792557	0.101771645247936	6.58485144376755E-02	4.38099764287472E-02	6.03539571166039E-02	0.2834253013134	0.14861324429512	0.084443710744381	4.40224632620811E-02	4.68743145465851E-02	 8.96604284644127E-02 
379	4.57076877355576E-02	0.044589027762413	0.30081906914711	0.23069840669632	0.290948629379272	3.81551049649715E-02	5.51149547100067E-02	8.70928317308426E-02	0.161719515919685	0.101064369082451	6.39850646257401E-02	4.30241450667381E-02	5.95196522772312E-02	0.28412064909935	0.146881520748138	8.38973373174667E-02	4.56182807683945E-02	4.73650321364403E-02	 9.16311666369438E-02 
380	5.05557432770729E-02	4.87480685114861E-02	0.302328109741211	0.232068836688995	0.290588855743408	3.76505479216576E-02	5.74095137417316E-02	9.08559858798981E-02	0.165492564439774	0.10277846455574	6.69844970107079E-02	4.60661724209785E-02	6.12771809101105E-02	0.286282479763031	0.150961592793465	0.085933655500412	4.71466518938541E-02	4.95262071490288E-02	 9.51865166425705E-02 
381	5.02482019364834E-02	4.92876321077347E-02	0.303812086582184	0.234293222427368	0.290680229663849	3.65546904504299E-02	5.69215379655361E-02	9.15345624089241E-02	0.167246147990227	0.10447634011507	6.86281323432922E-02	4.61146794259548E-02	6.11193142831326E-02	0.28722420334816	0.152364104986191	8.79862904548645E-02	4.64237295091152E-02	4.83379289507866E-02	 9.46468859910965E-02 
382	4.86577861011028E-02	4.93341162800789E-02	0.304885268211365	0.235461294651031	0.291532099246979	3.53037752211094E-02	5.64820319414139E-02	9.19075831770897E-02	0.168707862496376	0.105395704507828	6.84736594557762E-02	4.53065931797028E-02	6.04377426207066E-02	0.288864940404892	0.152376189827919	8.89051184058189E-02	4.65414002537727E-02	4.74020652472973E-02	 9.32832881808281E-02 
383	5.04483319818974E-02	5.20581677556038E-02	0.305482536554337	0.234664440155029	0.29275843501091	3.41948159039021E-02	5.84951043128967E-02	9.48083773255348E-02	0.171629592776299	0.105355523526669	6.77429288625717E-02	4.64809611439705E-02	6.12872801721096E-02	0.292561620473862	0.153693854808807	8.83555337786675E-02	4.95320074260235E-02	5.00679947435856E-02	 9.46971252560616E-02 
384	4.87859323620796E-02	4.97337505221367E-02	0.306143671274185	0.235448271036148	0.294235199689865	3.39550152420998E-02	5.67277632653713E-02	9.30466875433922E-02	0.171545371413231	0.104134179651737	0.066965252161026	4.51738424599171E-02	6.18638768792152E-02	0.292935341596603	0.153644859790802	8.69544669985771E-02	4.81565333902836E-02	4.99179884791374E-02	 9.37022566795349E-02 
385	4.75453473627567E-02	4.85796853899956E-02	0.306913733482361	0.235796809196472	0.296838790178299	0.035517793148756	5.56718707084656E-02	9.17808786034584E-02	0.172535508871078	0.105485700070858	6.79531395435333E-02	4.54980805516243E-02	6.13973997533321E-02	0.294867932796478	0.154558181762695	8.71655344963074E-02	4.68310788273811E-02	4.94074858725071E-02	 9.37671735882759E-02 
386	4.79125417768955E-02	4.99431081116199E-02	0.308275163173676	0.235866114497185	0.298658937215805	3.68052124977112E-02	5.64563758671284E-02	0.092760905623436	0.174718618392944	0.107352659106255	6.92959949374199E-02	0.047099269926548	6.07828311622143E-02	0.297558754682541	0.156329587101936	8.86066630482674E-02	4.71468344330788E-02	4.92452904582024E-02	 9.53346192836761E-02 
387	4.90848869085312E-02	5.16854152083397E-02	0.310620754957199	0.237005606293678	0.29719865322113	3.50834541022778E-02	5.77408820390701E-02	0.095018282532692	0.175950706005096	0.105347119271755	6.83510154485703E-02	0.047297041863203	6.14912286400795E-02	0.297633200883865	0.157538071274757	8.91945138573647E-02	4.85006012022495E-02	4.90792579948902E-02	 9.67891439795494E-02 
388	4.93449866771698E-02	5.02166785299778E-02	0.311964482069016	0.23945489525795	0.298319667577744	3.67471054196358E-02	5.68162798881531E-02	9.51328724622726E-02	0.17658606171608	0.105117626488209	6.84665441513062E-02	4.76738177239895E-02	6.15913979709148E-02	0.299797147512436	0.158845603466034	8.81591737270355E-02	4.86310720443726E-02	4.93612214922905E-02	 9.61548388004303E-02 
389	4.82466854155064E-02	4.83408384025097E-02	0.312810927629471	0.240537881851196	0.299727648496628	3.72165143489838E-02	5.55028393864632E-02	9.32912230491638E-02	0.177130863070488	0.10517093539238	0.068511113524437	4.74010854959488E-02	6.10192343592644E-02	0.301438212394714	0.159521743655205	8.69570821523666E-02	4.73864898085594E-02	4.90700863301754E-02	 9.55447927117348E-02 
390	0.04698521271348	4.80491332709789E-02	0.314206033945084	0.240211620926857	0.300754129886627	3.54608967900276E-02	5.52625507116318E-02	9.17928442358971E-02	0.177955448627472	0.1047692745924	6.81670233607292E-02	4.64979708194733E-02	0.060294259339571	0.302066177129745	0.159711986780167	8.65415260195732E-02	4.61646094918251E-02	4.82952184975147E-02	 9.57770720124245E-02 
391	4.83588725328445E-02	0.049396350979805	0.317401885986328	0.241810619831085	0.303637653589249	3.59274633228779E-02	5.64395152032375E-02	9.46922451257706E-02	0.17921507358551	0.104945346713066	6.86039477586746E-02	4.62186448276043E-02	6.03443123400211E-02	0.304543554782867	0.160718902945518	0.086909145116806	0.047744158655405	4.85775955021381E-02	 9.55978333950043E-02 
392	4.90517839789391E-02	0.049654133617878	0.318476796150208	0.243251740932465	0.304647147655487	3.76799330115318E-02	5.80628924071789E-02	9.66858342289925E-02	0.181271851062775	0.104937769472599	6.92440718412399E-02	4.65228818356991E-02	6.09935261309147E-02	0.307150721549988	0.163265109062195	8.81494432687759E-02	4.90049123764038E-02	4.97942008078098E-02	 0.096793033182621 
393	4.93776351213455E-02	4.93237003684044E-02	0.31757989525795	0.244335621595383	0.304868876934052	3.85787598788738E-02	5.84887824952602E-02	0.096962608397007	0.183143869042397	0.105076588690281	6.92426040768623E-02	4.64330092072487E-02	6.05753287672997E-02	0.308871060609818	0.164888739585876	8.86391699314117E-02	0.049261424690485	5.06570227444172E-02	 9.80765596032143E-02 
394	4.98188696801662E-02	4.94803227484226E-02	0.316704988479614	0.245446741580963	0.305732786655426	3.76752652227879E-02	5.74579350650311E-02	9.65518280863762E-02	0.184187263250351	0.105646520853043	6.84817880392075E-02	4.58926856517792E-02	0.058913916349411	0.309715986251831	0.164487540721893	0.0880161896348	4.88821975886822E-02	5.06091006100178E-02	 9.83576402068138E-02 
395	4.91009056568146E-02	0.050900723785162	0.320265561342239	0.24760913848877	0.306716293096542	3.77007611095905E-02	5.84677085280418E-02	9.85239520668983E-02	0.185191810131073	0.106387376785278	6.89199343323708E-02	4.80604581534863E-02	6.06236532330513E-02	0.311945706605911	0.166219979524612	9.02072936296463E-02	4.93575483560562E-02	5.17775900661945E-02	 9.87346693873405E-02 
396	4.83328849077225E-02	0.050411980599165	0.322194904088974	0.248566627502441	0.307606250047684	3.82613763213158E-02	5.86862154304981E-02	9.91703122854233E-02	0.186846196651459	0.105819195508957	6.80288746953011E-02	4.79873493313789E-02	6.05633743107319E-02	0.31311309337616	0.167145758867264	9.06211957335472E-02	5.00004664063454E-02	5.12087717652321E-02	 9.87627133727074E-02 
397	4.82387393712997E-02	4.92275953292847E-02	0.322283267974854	0.248486027121544	0.308364719152451	3.75161543488503E-02	5.84773533046246E-02	9.87018793821335E-02	0.188775226473808	0.104803882539272	6.72565251588821E-02	4.66968566179276E-02	5.99215552210808E-02	0.313880294561386	0.167846351861954	8.94385203719139E-02	5.03719598054886E-02	4.99545596539974E-02	 9.86277386546135E-02 
398	4.90163192152977E-02	4.98393066227436E-02	0.322836339473724	0.248642414808273	0.309172779321671	3.44001986086369E-02	5.90415149927139E-02	9.87949594855309E-02	0.190234243869781	0.104954540729523	6.87846019864082E-02	4.71711233258247E-02	6.15255944430828E-02	0.315763235092163	0.169860973954201	8.88387635350227E-02	5.03187142312527E-02	5.01919090747833E-02	 9.87498834729195E-02 
