"wvs,"	"L_mix_mars,"	"L_mix_moon,"	"L_mix_europa,"	"iof_mix_mars,"	"iof_mix_moon,"	iof_mix_europa
0.1205	0.004839413	0.00725912	0.001395985	0.040622012	0.040622013	0.04062201
0.1215	0.042148042	0.063222066	0.012158089	0.040526013	0.040526013	0.040526009
0.1225	0.010158146	0.015237219	0.002930234	0.040430014	0.040430014	0.040430012
0.1235	0.000408271	0.000612407	0.000117771	0.040334015	0.040334014	0.040334017
0.1245	0.00029288	0.00043932	8.45E-05	0.040238008	0.040238011	0.040238012
0.12549999	0.00024533	0.000367995	7.08E-05	0.040142014	0.040142012	0.040142015
0.1265	0.000299131	0.000448696	8.63E-05	0.040046016	0.040046016	0.040046015
0.1275	0.000180574	0.000270861	5.21E-05	0.039950011	0.039950013	0.039950011
0.1285	0.000146311	0.000219467	4.22E-05	0.039854013	0.039854012	0.039854011
0.1295	0.000336633	0.000504949	9.71E-05	0.039758013	0.039758012	0.039758012
0.1305	0.001015035	0.001522552	0.000292798	0.039662009	0.03966201	0.039662008
0.13150001	0.000334167	0.000501251	9.64E-05	0.039566011	0.03956601	0.03956601
0.13249999	0.00034592	0.000518881	9.98E-05	0.039470011	0.039470015	0.039470014
0.13349999	0.001403711	0.002105567	0.000404917	0.039374013	0.039374011	0.039374009
0.1345	0.000380912	0.000571368	0.000109878	0.039278012	0.039278011	0.039278014
0.1355	0.000315958	0.000473937	9.11E-05	0.03918201	0.039182012	0.039182012
0.1365	0.000256294	0.000384441	7.39E-05	0.039086014	0.039086016	0.039086014
0.1375	0.000241599	0.000362398	6.97E-05	0.038990013	0.038990014	0.03899001
0.13850001	0.000327667	0.0004915	9.45E-05	0.038894015	0.038894012	0.038894015
0.13950001	0.000622429	0.000933644	0.000179547	0.038798012	0.038798009	0.038798011
0.14049999	0.00049934	0.000749009	0.00014404	0.038702011	0.03870201	0.03870201
0.1415	0.000344902	0.000517353	9.95E-05	0.038606011	0.038606013	0.038606013
0.1425	0.000382453	0.00057368	0.000110323	0.038510007	0.038510007	0.03851001
0.1435	0.000416552	0.000624828	0.000120159	0.038414008	0.038414012	0.038414009
0.1445	0.000413885	0.000620827	0.00011939	0.03831801	0.03831801	0.038318009
0.1455	0.000449347	0.000674021	0.000129619	0.038222009	0.038222009	0.038222009
0.14650001	0.000573623	0.000860434	0.000165468	0.038126013	0.038126012	0.038126013
0.14749999	0.000685162	0.001027742	0.000197643	0.038030011	0.038030014	0.038030015
0.1485	0.000660088	0.000990131	0.00019041	0.037934012	0.037934015	0.037934015
0.1495	0.000639146	0.000958719	0.000184369	0.037838015	0.037838014	0.037838012
0.1505	0.000696792	0.001045188	0.000200998	0.037742011	0.03774201	0.037742013
0.1515	0.000740555	0.001110833	0.000213622	0.037646009	0.03764601	0.037646009
0.1525	0.00092672	0.00139008	0.000267323	0.037550011	0.03755001	0.037550008
0.15350001	0.001032444	0.001548665	0.00029782	0.037454013	0.037454012	0.037454009
