wvs	L_nont_mars	L_nont_moon	L_nont_europa	iof_mix_mars	iof_nont_moon	iof_nont_europa
0.1205	0.008187166	0.012280749	0.002361683	0.068723033	0.068723036	0.068723038
0.1215	0.071188673	0.10678301	0.020535195	0.068449042	0.068449039	0.068449037
0.1225	0.017129155	0.025693731	0.004941103	0.068175038	0.068175035	0.068175035
0.1235	0.000687311	0.001030967	0.000198263	0.067901026	0.067901032	0.067901029
0.1245	0.000492236	0.000738354	0.000141991	0.067627025	0.067627032	0.067627032
0.12549999	0.000411631	0.000617447	0.00011874	0.067353031	0.067353028	0.067353032
0.1265	0.000501058	0.000751588	0.000144536	0.067079032	0.067079033	0.067079034
0.1275	0.000301959	0.000452938	8.71E-05	0.066805036	0.066805036	0.066805035
0.1285	0.000244247	0.000366371	7.05E-05	0.06653103	0.066531037	0.066531032
0.1295	0.000561001	0.000841502	0.000161827	0.066257032	0.066257032	0.066257031
0.1305	0.001688645	0.002532968	0.000487109	0.065983028	0.065983025	0.065983026
0.13150001	0.000554967	0.00083245	0.000160087	0.065709036	0.065709033	0.065709032
0.13249999	0.000573481	0.000860222	0.000165427	0.065435026	0.065435028	0.06543503
0.13349999	0.002323037	0.003484555	0.000670107	0.065161035	0.065161035	0.065161034
0.1345	0.000629264	0.000943896	0.000181519	0.064887034	0.064887029	0.064887032
0.1355	0.00052103	0.000781545	0.000150297	0.064613026	0.064613027	0.06461303
0.1365	0.000421883	0.000632824	0.000121697	0.064339025	0.064339028	0.064339027
0.1375	0.000396975	0.000595462	0.000114512	0.06406503	0.064065028	0.064065027
0.13850001	0.000537414	0.000806121	0.000155023	0.063791034	0.06379103	0.063791034
0.13950001	0.001018992	0.001528488	0.00029394	0.063517026	0.063517028	0.063517026
0.14049999	0.000815972	0.001223958	0.000235376	0.063243034	0.063243032	0.063243033
0.1415	0.000562559	0.000843838	0.000162277	0.062969029	0.062969029	0.062969028
0.1425	0.000622641	0.000933962	0.000179608	0.062695021	0.062695021	0.062695025
0.1435	0.000676878	0.001015318	0.000195253	0.062421028	0.062421035	0.06242103
0.1445	0.00067127	0.001006904	0.000193635	0.062147024	0.062147024	0.062147029
0.1455	0.000727394	0.001091092	0.000209825	0.061873023	0.061873025	0.061873026
0.14650001	0.000926785	0.001390177	0.000267342	0.061599025	0.061599026	0.061599029
0.14749999	0.001104853	0.001657279	0.000318707	0.061325026	0.06132503	0.061325032
0.1485	0.001062345	0.001593518	0.000306446	0.061051022	0.061051024	0.061051025
0.1495	0.001026624	0.001539936	0.000296141	0.060777021	0.060777023	0.060777019
0.1505	0.001117005	0.001675508	0.000322213	0.060503028	0.060503028	0.060503029
0.1515	0.001184798	0.001777197	0.000341769	0.060229027	0.060229025	0.060229024
0.1525	0.001479668	0.002219501	0.000426827	0.059955027	0.059955026	0.059955023
0.15350001	0.001645145	0.002467718	0.000474561	0.059681028	0.059681028	0.059681023
0.15449999	0.002595691	0.003893537	0.000748757	0.059407031	0.059407029	0.059407027
0.15549999	0.002690381	0.004035571	0.000776071	0.059133028	0.05913303	0.059133031
0.1565	0.002306954	0.00346043	0.000665467	0.058859033	0.058859029	0.058859033
0.1575	0.002134597	0.003201895	0.000615749	0.058585024	0.058585028	0.05858503
0.1585	0.002072642	0.003108963	0.000597878	0.058311019	0.058311019	0.058311019
0.1595	0.002160198	0.003240297	0.000623134	0.05803702	0.05803702	0.05803702
0.1605	0.002370638	0.003555957	0.000683838	0.057763021	0.057763023	0.05776302
0.16150001	0.00271806	0.00407709	0.000784056	0.057489024	0.057489026	0.057489026
0.16249999	0.00305842	0.00458763	0.000882237	0.057215027	0.057215027	0.057215026
0.1635	0.003432855	0.005149282	0.000990246	0.056941027	0.056941029	0.056941026
0.1645	0.003575067	0.005362601	0.001031269	0.05666702	0.056667026	0.056667021
0.1655	0.005148192	0.007722287	0.001485055	0.056393031	0.056393028	0.056393033
0.1665	0.004750431	0.007125646	0.001370317	0.056119027	0.056119025	0.056119028
0.1675	0.004592139	0.006888208	0.001324656	0.055845023	0.055845017	0.055845023
0.16850001	0.005372679	0.008059019	0.001549812	0.055571018	0.055571021	0.055571022
0.16949999	0.006896303	0.010344454	0.001989318	0.055297022	0.055297026	0.055297021
0.1705	0.007725006	0.011587509	0.002228367	0.055023027	0.055023025	0.055023025
0.1715	0.007993256	0.011989883	0.002305747	0.054749026	0.054749022	0.054749026
0.1725	0.008383282	0.012574922	0.002418255	0.054475019	0.054475019	0.054475019
0.1735	0.008793137	0.013189705	0.002536482	0.054201024	0.05420102	0.054201026
0.1745	0.010375975	0.015563961	0.00299307	0.053927021	0.053927019	0.053927021
0.17550001	0.012284981	0.018427471	0.003543745	0.05365302	0.05365302	0.053653022
0.17649999	0.013819403	0.020729106	0.003986367	0.053379021	0.053379022	0.053379018
0.17749999	0.015810737	0.023716105	0.00456079	0.053105025	0.053105021	0.053105021
0.1785	0.017242657	0.025863986	0.004973844	0.052831021	0.052831024	0.05283102
0.1795	0.017577043	0.026365563	0.005070301	0.052557021	0.052557021	0.052557022
0.1805	0.02031458	0.030471871	0.005859975	0.052283018	0.052283021	0.052283017
0.1815	0.024644854	0.036967281	0.007109093	0.052009018	0.052009018	0.052009019
