#Pres (bars)      Temp (K)
9.9999999977e-07  8.0080316578e+02
1.5251283882e-06  8.1652293233e+02
2.4672101228e-06  8.3395499891e+02
4.0461304114e-06  8.4854175036e+02
6.7499827208e-06  8.7065799947e+02
1.1325473554e-05  8.8821817423e+02
1.9060067032e-05  9.1385702684e+02
3.2129559682e-05  9.3367345765e+02
5.4213325951e-05  9.6088717163e+02
9.1543197208e-05  9.8031546710e+02
1.5468098890e-04  1.0077091480e+03
2.6152891604e-04  1.0266413284e+03
4.4239907750e-04  1.0547108341e+03
7.4856126106e-04  1.0746020241e+03
1.2665296909e-03  1.1051300264e+03
2.1414620893e-03  1.1278770537e+03
3.6155071058e-03  1.1633111963e+03
6.0884587408e-03  1.1968727312e+03
1.0211977137e-02  1.2430198211e+03
1.7052160824e-02  1.2916806459e+03
2.8360744799e-02  1.3477338376e+03
4.6989732971e-02  1.3978698106e+03
7.7588910775e-02  1.4473861287e+03
1.2766540291e-01  1.4944227504e+03
2.0882130377e-01  1.5253294092e+03
3.3835836399e-01  1.5560328655e+03
5.4115572570e-01  1.5993157784e+03
8.5135480607e-01  1.6291616916e+03
1.3141689782e+00  1.6337823458e+03
1.9852627397e+00  1.6262475619e+03
2.9360204781e+00  1.6202672852e+03
4.2492160734e+00  1.6186407756e+03
6.0373110381e+00  1.6185328646e+03
8.4351637925e+00  1.6187064208e+03
1.1636259527e+01  1.6189805934e+03
1.5899355296e+01  1.6194891190e+03
2.1485286180e+01  1.6202431701e+03
2.8681600669e+01  1.6215755455e+03
3.8269808421e+01  1.6235627114e+03
5.1908557909e+01  1.6274367308e+03
7.2078596888e+01  1.6338627415e+03
1.0245684685e+02  1.6469902991e+03
